id,name,description,neighbourhood_cleansed,property_type,tags
21644.0,"Upper Manhattan, New York","A great space in a beautiful neighborhood- minutes from Columbia University!<br /><br /><b>The space</b><br />Nice room in a spacious pre-war apartment in uptown manhattan.  The apartment's living and dinning rooms sit on Broadway and get lots of sun light.  The apartment is 3 train stops (7 minutes) from Columbia University, and there's a great energy in the neighborhood.  The room is in excellent condition with a great orthopedic bed, and there's also a futon sofa available.  The neighborhood is eclectic- safe to be outside anytime of day or night!<br /><br /><b>Guest access</b><br />guest will have access to the common living quarters of the house as well- living room, dinning room and kitchen.  The neighborhood has an excellent new pub as well as nice restaurants and 24hr deli's that deliver.  Papa John, domino's, KFC and a host of fast food places are blocks away.",Harlem,Private room in apartment,"['one', 'one', 'Central Park!<br', 'one', 'Central Park!<br', '3rd']"
21794.0,COZY QUIET monthly room 4 DOOGLERS!,"Private, quiet and comfortable room with a loft bed & a chaise lounge, work desk, fresh white bed linens & comforter along with plush white bath towels, extra blankets, TV, DVD player, cable, wireless wifi, a small fridge, iron & board & Keurig Coffee maker. Air conditioning in summer. Ask about monthly discount <br /><br />Search engine G people (Interns, DOOGLERS, Greyglers & regular G’s) LOVE to stay here during their 3 month internships. Just pop out of bed & run across the street to work.<br /><br /><b>The space</b><br />This is the smaller room<br />of the two I have available in my apartment located by the front door of the apartment for easy coming and going. The room has a loft bed and a chaise lounge, a desk, fresh white bed linens & comforter, towels, extra blankets, TV, DVD player, cable, wireless wifi, fridge, iron, ironing board and hair dryer.  An additional folding  twin bed is available upon request.<br /><br />It faces the back of building with a window and is complet",Chelsea,Private room in apartment,"['Columbia University!<br', 'manhattan', 'Broadway', '3', '7 minutes', 'Columbia University', 'Papa John', ""domino's"", 'KFC']"
23135.0,House On Henry (3rd FLR Suite),"<b>The space</b><br />Come stay in your home away from home!<br /><br />This charming apartment is located on the top level of our townhouse (3rd Floor).  It boasts plenty of sun, brick exposed walls, hard wood floors throughout, a tub/showered bathroom, a bedroom, a den, a fully equipped kitchen and yes, free wifi.<br /><br />Note, the rate quoted is for 1 guest, additional guests incur a $20 per night/per person charge.  <br /><br /><br />Check-in is at 4pm<br />Check-out is at 11am<br /><br />Please note, this is a residential townhouse and as such we ask that guests respect our designated quiet hours between 11 p.m. and 7 a.m. <br /><br />Thanks and I do hope you will visit us soon at our Carroll Gardens Retreat - House on Henry!",Carroll Gardens,Entire apartment,"['Keurig', 'summer', 'monthly', 'DOOGLERS', 'Greyglers', 'G', '3 month', 'two']"
23545.0,Upper Upper West Side Townhouse 2bd/2ba,"With a Backyard!  A beautiful home away from home for your stay here in New York City. <br /><br />This is a 30 day listing.<br /><br /><b>The space</b><br />Must love cats.  The space is a beautiful, warm and clean apartment nestled between the Hudson River on the west, historic Harlem, southeast, Sugar Hill, east, Washington Heights, north, and Columbia University, south, in our culturally diverse neighborhood of Hamilton Heights.<br /><br />The apartment is located on one of the most beautiful blocks in NYC.  It is on the street level which makes it easy for people with stair concerns.  It is decorated with comfort and style in mind. The bedrooms are super quiet and have the most comfortable beds. <br /><br />The apartment is a large 2 bedroom/2 bath duplex completely separate with its own private entrance and with access to the serene backyard garden.   There are 2 queen beds, 2 twin beds, a sofabed,  free WiFi, towels, sheets, pillows, iron and board, hairdryers, and bathrobes.  O",Harlem,Entire townhouse,"['3rd', '20', '4pm', '11am', 'between 11 p.m. and 7 a.m.', 'Carroll Gardens']"
23686.0,2000 SF 3br 2ba West Village outdoor living house,"Enjoy a 15 x13 private patio &  roof garden in a private 1852 brick townhouse - 5 floors of antiques and art, 3 br, 2 baths. Mainly A/C (in-wall), one floor fan-cooled. House yours alone. Sleeps 4-5.  Published in decor magazines & websites.   2 min walk from  Citibike stations. On Leroy Street, with little traffic, steps from restaurants, food shops, chic fashion, Hudson River. House comes with two friendly, indoor-outdoor cats. Host fully vaccinated 4/2. Please don't ask for discounts.<br /><br /><b>The space</b><br />Charming, quiet, chic,  private  townhouse, with all modern conveniences, in a landmarked district in the heart of the fashionable West Village. Sleeps 4 -5 comfortably (ideally one couple and two singles;  one additional child under 10 can use a small size futon; there's also an air mattress.) Published in 4 decor magazines/websites.  One of the cross streets is Bedford Street, which is filled with charming cafes and restaurants; the other is Bleecker, with an amazing ",West Village,Entire house,"['New York City', '30 day', 'the Hudson River', 'Harlem', 'Sugar Hill', 'Washington Heights', 'Columbia University', 'Hamilton Heights.<br', 'NYC', '2', '2', '2']"
24285.0,Beautiful Duplex Apartment,"The apartment is located in the Park Slope. We have have many bars, diners, restaurants. We are 15 minutes away from the local subway where you can take the F or R train to Manhattan. You can take the F,G, and R to Queens as well. We do not allow any pets so please don’t ask us if you can bring your dog or cat. Thank you<br /><br /><b>The space</b><br />4 bedroom duplex apartment in Park Slope, on the second floor of the building. <br /> <br />The first floor of the apartment (second floor of the building) has two bedrooms. <br />Both bedroom has a queen size bed, a single size bed, bedside table, closet, dresser, TV, and chairs. <br />Both bedroom also has its private bathroom, with tub, shower in the tub, and toilets. <br />Upstairs, there is the living room. It has a big dining table, chairs, TV, two sofas and a coffee table. <br />The kitchen is on the right, fully furnished, with stove, oven, microwave, dishwasher, cookware, refrigerator, freezer, hood.  <br />The third bedroom ha",Park Slope,Entire apartment,"['15', '1852', '5', '3', '2', 'one', '4-5', '2 min', 'Citibike', 'Leroy Street', 'Hudson River', 'two', '4/2', 'West Village', '4', 'one', 'two', 'one', 'under 10', '4', 'One', 'Bedford Street', 'Bleecker']"
25406.0,"Modern Brooklyn Apt., August sublet","Seeking responsible and considerate sublet tenant for 1 month (Aug 1–Sept 3). Asking $3000/month—that's only $100/day—a RARE FIND for all this! All utilities, including wifi and cable, are included.<br /><br /><b>The space</b><br />Don't think of this modern 1-bedroom apartment as a stranger's residence; it feels more like a suite in a small boutique hotel — even though it's actually my home when I'm not traveling on research assignments as a travel writer. (I won't seem like a stranger once we connect.) <br /><br />This clean and well-maintained ""suite"" is stylish, yet comfortable (it has actually been a set for TV, film, and commercials), and is fully-equipped with wireless Internet, a state-of-the-art home entertainment system, and plenty of kitchen gadgets at your disposal if you are culinarily inclined. Oh, and the queen-sized bed and jacuzzi-fitted tub are quite lovely too.<br /><br />Adding to the convenience are washer/dryer, iron, garment steamer, and a dishwasher. Also, the s",Williamsburg,Entire apartment,"['the Park Slope', '15 minutes', 'Manhattan', 'Queens', 'Park Slope', 'second', 'first', 'second', 'two', 'two', 'third']"
25696.0,"1,800 sq foot in luxury building","I have committed to all the COVID cleaning regulations and hope you will too. <br /><br />This corner unit boasts lots of light. The living room is very large for a New York City apartment.<br /><br /><b>The space</b><br />The apartment has 3 bedrooms/2 baths. I live in the master bedroom with ensuite bathroom. The second bedroom is occupied full time by my friend Vanessa. You will share the bathroom with her. She is very clean and neat. There ia a very friendly cat. If you are allergic or just not cat lovers, this may not be the best fit. <br /><br />There is one available bedroom for rent. The room can hold up to 2 guests.  There is a free gym in the building, on the same floor as the apartment. There is also roof space for grilling. You will have full access to the kitchen and living room which has a large flat screen television with cable, wireless internet. 24 hour doorman/security. Bed is a queen bed. There is access to a washer and dryer on each floor. The washer and dryer in th",Harlem,Private room in apartment,"['1 month', 'Aug 1–Sept 3', '3000', 'only $100', '1']"
26012.0,Sunny 2-story Brooklyn townhouse w deck and garden,"Our home is a beautifully renovated, bright and sunny house in a great Brooklyn neighborhood. The duplex layout includes a large open kitchen, living room and entry foyer, 3 bedrooms upstairs with master bath, a large deck and peaceful backyard -- plus we're close to great shops, parks, and cultural attractions.<br /><br /><b>The space</b><br />The downstairs space includes the entry foyer, living room with working fireplace and bathroom, plus a large and sunny chef's kitchen with large dining area. Our large backyard has a large open grass area, artist studio/shed, and garden. A large sunny deck off the kitchen is great for outdoor meals. There is a washer/dryer, dishwasher, and wireless internet. We have a 7 year old and a 10 year old so the house is perfect for families. We have a bunk bed and toys, plus 2 double/Queen beds in the other upstairs bedrooms.<br /><br /><b>Guest access</b><br />We live in the upstairs duplex with access to the yard and a large sunny deck. We have a rent",Gowanus,Entire townhouse,"['COVID', 'New York City', '3', 'second', 'Vanessa', 'one', '2', '24 hour']"
26362.0,"Times Square, Safe, Clean and Cozy!","Confortable and cozy. Amazing memory foam mattress. Room is small but has closet available.<br />Perfect  location to explore NYC by foot. Walk distance to many of Manhattan main sightseeing  attractions<br /><br /><b>The space</b><br />The apartment has a kitchen and two bedrooms, one with a full size bed, and one with a queen lofted bed.  There are huge windows, which provide great sun light! The shower and sink are inside the apartment and the toilet is conveniently located outside the apt in the hallway, and is exclusively for the use of this apt.  The kitchen is equipped with a stove, silverware, microwave, coffee maker, blender, two Televisions, two Air Conditioners and a very comfy leather sofa.  There is a fast connection to the internet with WIFI throughout.<br />The kitchen can be used to cook breakfast only, and is available to eat lunch and dinner, but not to cook these meals in.  However, the Microwave is always available!<br />The apartment is in New York City's Best Loca",Hell's Kitchen,Private room in apartment,"['Brooklyn', '3', '7 year old', '10 year old', '2']"
26520.0,"Cozy Room #3, Landmark Home 1 Block to PRATT","<b>The space</b><br />rent a room in a brick house rather than just an apartment... <br /> <br />large (22' x 18') furnished room available in 4 br/2ba 3+ floor brownstone on vibrant safe landmark block of clinton hill brooklyn, 2 blocks from pratt institute <br /> <br />around the corner form the g-train @ clinton-washington and 3 blocks from the c-train @ clinton-washington, 2 blocks from dekalb avenue restaurant and services and 2 blocks from choice market, 12 min walk to fort greene park, 15 min walk to BAM (brooklyn academy of music)  <br /> <br />bedroom furnished with a double/full size bed, wardrobe closet, two chest of drawers, nightstand, ceiling fan and a sofa that opens to a full size bed <br /> <br />includes all utilities as well as wireless internet, washer/dryer and every other week cleaning service of common areas.  <br /> <br />bedroom is on the top floor of the house (each bedroom is on its own floor) and features wood flooring, and two windows that face a courtyard ",Clinton Hill,Private room in townhouse,"['NYC', 'Manhattan', 'two', 'one', 'two', 'two', ""New York City's""]"
26785.0,Park Slope Green Guest House,"PLEASE INQUIRE BEFORE BOOKING! A private ""Studio Plus"" apt. that's cozy and light in Brooklyn's best area. Includes utilities, cable TV, Wifi, computer, fully stocked kitchen and more. <br /><br />We rent the space monthly and prefer guests to book from the 1st of the month to the end of the month (or multiple full months). However, depending on circumstances, it may be possible to check in or out in the middle of any given month. PLEASE DO NOT BOOK WITHOUT FIRST INQUIRING about details and possibilities!<br /><br /><b>The space</b><br />Dear Guests,<br />We are a Green Guest House. We cater to the chemically sensitive, allergic, and/or environmentally concerned guest. We recycle and use resources responsibly. <br /><br />Our guest house is a one flight walk up. It is a private apartment in our 2-family home. The unit is not shared with any other guests. We are frequently available to answer questions, give directions/advice and even act as ""concierge"". The space consists of a full kit",South Slope,Entire apartment,"['pratt institute', 'dekalb avenue restaurant and services', '12 min', 'fort greene park', '15 min', 'two', 'two']"
26969.0,2 story family home in Williamsburg,"<b>The space</b><br />Sweet family home right in the heart of Williamsburg, Brooklyn. <br />Just a few steps from the Bedford Avenue ""L"" train. <br />One train stop from Manhattan's East Village. <br /><br />Great for families.. Kids welcome. <br /><br />1st floor has an eat in kitchen, living room and half bathroom. <br />2nd floor has 3 bedrooms and bathroom with bathtub and separate shower. <br />One king size bed in the large, rear bedroom. <br />Full (double) bed in the medium size, front bedroom.<br />The small, front bedroom has a twin bed.<br />A fourth single (twin) mattress, which can be pulled to the floor, can be found in the medium size bedroom closet.<br /><br />All the beds are really comfortable.<br />All bedding, linens, towels included.<br /><br />Classic Brooklyn front stoop. <br />Beautiful sunny, sometimes lightly shared garden. <br /><br />24 hour health food store next door. <br />East River Ferry service is three blocks away.<br />Also new, down at the riverfron",Williamsburg,Entire house,"['Brooklyn', 'monthly', 'the 1st of the month', 'the end of the month', 'multiple full months', 'the middle of any given month', 'FIRST', 'a Green Guest House', 'one', '2']"
27006.0,Comfortable UWS 2-BD Family-Friendly Brownstone,"Our clean, quiet two bedroom apartment is very family friendly and ideally located in the heart of the Upper West Side. Enjoy the private terrace off the master bedroom and easy access to major subway lines/buses. Lots of great shops/restaurants/cafés close by.<br /><br /><b>The space</b><br />SPACIOUS 2-BEDROOM MANHATTAN APARTMENT—IDEAL LOCATION!<br />(Note: The cancellations in 2018 were due to an illness in our family that made it not possible for us to travel.)<br /><br />Our charming, quiet Upper West Side brownstone apartment is in the heart of the West 70s, half a block from Central Park and the famous Dakota, on the Upper West Side. <br /><br />Our apartment sleeps up to three adults but is ideal for a couple, or a family with children. We have a queen-size bed, a twin loft bed for two children, and a full-size sofa in case you have a teenager or additional adult family member. The apartment is on the fourth floor (there is no elevator/lift) of a charming townhouse and features",Upper West Side,Entire apartment,"['Williamsburg, Brooklyn', 'Bedford Avenue', 'Manhattan', 'East Village', 'half', '3', 'fourth', 'Brooklyn', 'three blocks']"
27644.0,Sugar Hill Rest Stop,"The apartment is approx 1200 square feet.  It's decorated with comfortable, clean and tasteful furnishings.  The apartment is conveniently located to the 1,  A, B, C and D subways and M4, M5, 19, M101 buses. Great restaurants and lots of green spaces<br /><br /><b>The space</b><br />A luxury 1 and 1/2 bedroom, 1 bath apartment in the center of Harlem's Sugar Hill with private entrance on 147th Street and backyard patio.   It is fully furnished with the latest appliances and amenities, including flat screen TV with cable, WIFI, stove/oven with warmer, side-by-side refrigerator-freezer, dishwasher, private washer & dryer in the apartment, coffer/espresso makers, microwave, blender, fully furnished kitchen for meals and entertaining (plates, glasses, cultery, cups, saucers, pots & pans, etc).  It also has lots of storage space.<br /><br />It can easily accommodate up to 6 persons with its queen sized bed in the bedroom, queen sized sofa bed in the living room and sufficient space to use t",Harlem,Entire apartment,"['two', 'the Upper West Side', '2', '2018', 'Upper West Side', 'the West 70s', 'half', 'Central Park', 'Dakota', 'the Upper West Side', 'up to three', 'two', 'fourth']"
27883.0,East Village Sanctuary,"Sorry, this listing is no longer available.",East Village,Entire apartment,"['approx 1200 square feet', '1', 'M4', 'M5', '19', 'M101', '1', '1/2 bedroom', '1', 'Harlem', 'Sugar Hill', '147th Street', '6']"
28321.0,2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,"Queen size BR .. right next door to the  Q train  in Prospect Lefferts Gardens aka Flatbush  : 20 minutes away ( 6 subway stops)  from Union Sq., Manhattan …a 30 min cab from JFK /35$ <br />directly across the street from the largest city park entrance , Prospect Park <br />near to organic food store thru historical Ditmas neighborhood, or at the farmers market in the park on saturdays and wednesdays , the brooklyn museum is a walkable distance as are  shops, brooklyn Botanical Garden.<br />Month to Month only<br /><br /><b>The space</b><br />your private  room with a queensize memory foam ,air conditioner , two desk tops, several electrical outlets,  1/2 closet and  2  dressers<br /><br /><b>Guest access</b><br />Cotton linens  sheets,shampoo  ,   if you enjoy cooking there's a fully equipped kitchen utensil wise…<br />dishwasher ,  juicer , blender, cuisenart ,  dehydrator  <br />delivery menus  <br /><br />Bonus: there is a massage chair , an  oil diffuser with oils  ,  a trampoline",Prospect-Lefferts Gardens,Private room in apartment,
28907.0,Garden studio in the Upper East Sid,"Recently renovated Studio, Approximately 400 square feet + a sunroom about 100 sqf, Sleeps 4, has a private garden approximately 100 square feet.<br /><br />Building: On the Upper East Side, this New York apartment is located on the ground floor of a five-story building.<br /><br /><b>The space</b><br />Size: Studio, Approximately 400 square feet + a sunroom about 100 sqf, Sleeps 4, has a private garden approximately 400 square feet.<br /><br />Building: On the Upper East Side, this New York apartment is located on the ground floor of a five-story building. The studio faces south and is extremely quiet. The building dates from the 1880's and is located on 88th street. Security is good: front door is kept locked and entry is with your own key, or for visitors there is an intercom system. There is as coin-operated laundry in the basement.<br /><br />Interior: Bright and airy studio, it has high ceilings and wood floors. Overall, the place has a comfortable relaxing atmosphere. It can sle",Upper East Side,Entire apartment,"['Prospect Lefferts Gardens', 'Flatbush', '6', 'Manhattan', '30 min', 'JFK', 'Prospect Park', 'saturdays', 'brooklyn Botanical Garden.<br']"
29013.0,B & B Room 1,"Relaxing<br /><br /><b>The space</b><br />Private Rooms for Rent <br /><br />EVERYTHING IS INCLUDED!!! JUST BRING YOUR CLOTHES. <br /><br />Low monthly rental rate <br /><br />I offer a lovely furnished private rooms with full kitchen and bathroom in a brand new home for male or female. Perfect for travelers, students, international guests. <br /><br />Included: <br />All Utilities <br />Comfortable bed<br />Fine linens, soaps and towels<br />Fully equipped Kitchen and bath <br />All Rooms are extremely Clean and large <br />TV, High speed internet cable <br /> Wireless internet <br />Housekeeping <br /> Access to Rooftop<br />Laundry room on premises <br /><br /><br />Great location: Franklin Avenue in Downtown Brooklyn. Diverse neighborhood. Clean and Safe area. Two blocks from the A, C, and Shuttle train to the B, Q. Quick stops to Manhattan. Close to shopping area. <br /><br /> Clinton Hill<br /><br /><b>Guest access</b><br />Everything in the apartment.",Bedford-Stuyvesant,Private room in apartment,"['Approximately 400 square feet', 'about 100 sqf', '4', 'approximately 100 square feet.<br /><br />Building:', 'the Upper East Side', 'New York', 'five', 'Approximately 400 square feet', 'about 100 sqf', '4', 'approximately 400 square feet.<br', 'the Upper East Side', 'New York', 'five', ""the 1880's"", '88th']"
29628.0,"Comfortable, Sunny Room","* I’m half vaccinated, 2nd shot due 4/29 * 😊<br /><br />The pandemic has caused me to let some museum memberships expire, but I still have these you are welcome to use:<br /><br />• The Whitney Museum<br />• The American Museum of Natural History<br />• The Met <br />• The Guggenheim<br /><br /><b>The space</b><br />I am located in beautiful, Clinton Hill, Brooklyn. The ""C"" train (10 minutes to Lower Manhattan) is a 1/2  block from the building. The ""G"" train (for traveling between Brooklyn &  Queens) is 3 blocks away. The stop for both is the Clinton-Washington stop.<br /><br />At a leisurely pace I am a 15 minute walk from the 2,3,4 & 5 trains and the Brooklyn Museum on Eastern Parkway. About another 5 minutes of walking to Prospect Park. About a 10 minute walk from Fort Greene Park. The same for restaurants, bars and shopping in the area. Short train rides to Manhattan and other wonderful areas of Brooklyn like Brooklyn Heights, Cobble Hill, Williamsburg, DUMBO, and Park Slope.<br /",Clinton Hill,Private room in apartment,"['Franklin Avenue', 'Brooklyn', 'Two', 'Manhattan', 'Clinton Hill']"
29683.0,Stylish Apartment with office space Near SoHo!,"Modern 1 bedroom apartment with stylish Scandinavian decor. Perfectly & conveniently located in Manhattan's desirable NoHo district.<br /><br /><b>The space</b><br />Apartment:<br />Spacious and sleek 1 bedroom apartment in a walk-up brownstone building. The apartment has a modern contemporary look with Scandinavian furniture, simple and inviting. Lots of sun light.<br />Newly renovated bathroom with separate shower with subway tiles. Brand new kitchen with stainless steel appliances. Hardwood floors throughout the home. Super fast 150 mbps WIFI, large wall mounted flat screen LED TV, Apple TV and Sonos sound system in all rooms! Large & very comfortable Queen sized eco-friendly double bed with memory mattress. Extra pillows are available for your comfort.<br />The apartment is ideal for two people. It has the option of accomodating a third person on the sofa in the living room. This is normal sofa where the back cushions can be removed and made wider. The living room faces the street ",Lower East Side,Entire apartment,"['2nd', '4/29', 'The Whitney Museum', 'The American Museum of Natural History', 'Met', 'Guggenheim', 'Clinton Hill', 'Brooklyn', '10 minutes', 'Lower Manhattan', '1/2', 'Brooklyn', 'Queens', '3 blocks', 'Clinton', 'a 15 minute', '2,3,4', '5', 'the Brooklyn Museum', 'Eastern Parkway', 'About another 5 minutes', 'Prospect Park', 'About a 10 minute', 'Fort Greene Park', 'Manhattan', 'Brooklyn', 'Brooklyn Heights', 'Cobble Hill', 'Williamsburg', 'DUMBO', 'Park Slope.<br']"
31130.0,Most Central Location!,"The bedroom is set up completely for you. Second room is mine And is closed when I am not home. The apartment is very quiet and cozy, has 9ft ceiling and facing backyard.<br /><br />This is a small, intimate building, so I'm looking for a quiet, friendly people coming to explore New York, business or to study, but traveling light.<br /><br /><b>The space</b><br />Apartment is very clean and quiet. Location is truly amazing, Columbus Circle and Central Park. I don't normally stay there, but keep my room/living room locked for my self. When I am home we will be sharing the bathroom, which never has been a problem for any one before. I’m very friendly, but private and respect full cost. <br /><br />Fully furnished, private, large bedroom with brand new, very comfortable queen size bed. Just like a hotel room with all the linens and towels.. Large eating-in-kitchen with all dishes, microwave, toaster...<br /><br />3 flights easy walk-up in five-stories brownstone bldg.<br /><br />Location:",Hell's Kitchen,Private room in apartment,"['1', 'Scandinavian', 'Manhattan', 'NoHo district.<br', '1', 'Scandinavian', '150 mbps', 'Apple', 'Sonos', 'two', 'third']"
31555.0,Luminous Beautiful West Village Studio,"Wonderfully bright, nicely furnished 400-square-foot West Village studio in an elevator building on one of the best blocks in Manhattan. I've lived here for a long time and I still love coming home to this space. Just out the door are many of New York's best bars and restaurants, and prettiest streets. Inside is a peaceful haven from the city, with high ceilings, windows in the main bed/living room, kitchen, and bathroom.Everything is here to help you enjoy an amazing visit to this city!<br /><br /><b>The space</b><br />I've lived in this apartment for a while and I think it's an amazing place to stay: It gets tons of light from windows in the main room, kitchen area, and bathroom, has enough space for 1 person or a couple, and is in a location that is convenient to many subway lines (minutes walk to the 1,2,3,9 and A,C,E, B,D,F,V subway lines). You will be surrounded by the best bars and restaurants in New York and enjoy great furnishings and appliances inside (Roche-Bobois couch, Eko",West Village,Entire apartment,"['Second', '9ft', 'New York', 'Columbus Circle', 'Central Park', 'five', 'brownstone bldg.<br']"
31902.0,Sanctuary in East Flatbush,"Come and Stay in a warm and nurturing environment in Brooklyn.  Perfect for responsible artists or Family looking for space to create and rest.<br /><br /><b>The space</b><br />I would love to offer our home to an honest clean, respectful individual or couple for short term and long term stays.<br /><br />Our home is our temple and you will feel this one you step in the doors.  <br />This is Beautiful House has  2 bedrooms, Healing Temple Room, Spacious living room with Den and Library and Dining room.<br />The kitchen is fully functioning with a table for meals and spices, pots and  dishes for respectful use.<br /><br />Your room:  Sunny and spacious, this is the perfect place to work or rest. There is a spacious closet and plenty of drawer space where you can store your things.<br /><br />Everyone who lives in this house is really cool and share the backyard. <br /> <br />A huge gift is the laundry in the basement and lovely  garden in back where you can hang on listen to the birds w",East Flatbush,Private room in house,"['400-square-foot', 'West Village', 'Manhattan', ""New York's"", '1', '1,2,3,9', 'New York', 'Roche-Bobois', 'Eko']"
31994.0,Room with En Suite Bathroom & Deck,"<b>The space</b><br />Sunny, master bedroom with own private bathroom in brownstone duplex in Clinton Hill, Brooklyn. There is also a private deck adjoining the bedroom. The bedroom has a queen-sized bed and the bathroom has a clawfoot tub and double, tempered glass sinks.   The bedroom is 15'x17'and air-conditioned.  Fiber-optic Wi-Fi is available from anywhere within the apartment. There is a chef's kitchen downstairs that is shared with two other people.  There is a French, gourmet deli on the corner which is kind of pricey but is very good. There are also many restaurants in the area, many of which are located on DeKalb Ave.  G train to Clinton/Washington, two blocks away.  Forty minutes from Central Park and  Times Sq., 30 minutes from Greenwich Village/NYU, a 20-minute walk to Brooklyn Museum or Brooklyn Academy of Music and a 25-minute walk to Prospect Park.  Very close to Fort Greene, Williamsburg, Barclays Stadium, The Brooklyn Flea and Pratt.  Also, the house is along the rou",Clinton Hill,Private room in apartment,"['Brooklyn', '2']"
32023.0,Flat Macdonough,"Experience brownstone living with our spacious, bright top floor two bedroom apartment on this historic block in Bed-Stuy.<br /><br /><b>The space</b><br />The apartment is the perfect place for anyone to feel at home when visiting New York City. There are two bedrooms with one queen sized bed and one full size bed. The bedrooms are right next to each other with a dividing door for privacy. Large windows throughout the apartment fill the bedroom and living rooms with light. The apartment has a spacious kitchen that is great for cooking  on a night in. The living room is large and great to lounge and relax in. <br /><br />The apartment is 7 minutes away from the A/C train, one of the most accessible and easily transferred to/from trains. The A train is 3 stops and 15 minutes away from downtown Brooklyn and 5 stops and 25 minutes from lower Manhattan. From the train, you can get to all of NYCs major dining, leisure, arts, entertainment, and sports. Our street has free alternate parking a",Bedford-Stuyvesant,Entire apartment,"['Clinton Hill', 'Brooklyn', 'two', 'French', 'DeKalb Ave', 'Clinton/Washington', 'two blocks', 'Forty minutes', 'Central Park', 'Times Sq', '30 minutes', 'Greenwich Village/NYU', '20-minute', 'Brooklyn Museum', 'Brooklyn Academy of Music', '25-minute', 'Prospect Park', 'Fort Greene', 'Williamsburg', 'Barclays Stadium', 'The Brooklyn Flea', 'Pratt']"
32037.0,Huge Private  Floor at The Waverly,"Spacious studio in one of the city’s best neighborhoods! Convenient to transportation, great restaurants, zoo, museum, parks, theater, and cinema, plus shopping. You’ll love it here!<br /><br /><b>The space</b><br />We are offering the entire bottom level of our spacious garden duplex apartment.  The generous, beautifully appointed studio space (550 sq. feet)  is located in a prime, safe, and very convenient area of Brooklyn on a quiet tree-lined street.  <br /><br />Our location in the lovely neighborhood of Fort Greene/Clinton Hill, is just a short 12 minute ride from Manhattan. We are located 2 blocks from the C and G trains at Clinton/Washington, and an 7 minute walk to the 2,3,4,5,N,R,and D trains and LIRR (which can take you to the Long Island/Queens beaches) at Atlantic Terminal.  We are a 3 mile walk across either the Brooklyn or Manhattan Bridge to Manhattan and only 11 miles from both major airports.<br /><br />This unique neighborhood offers everything for both the modern fa",Clinton Hill,Private room in condominium,"['two', 'Bed-Stuy.<br', 'New York City', 'two', 'one', 'one', '7 minutes', '3', '15 minutes', 'Brooklyn', '5', '25 minutes', 'Manhattan']"
32329.0,Fully Furnished Beautiful 1 Bedroom,"<b>The space</b><br />Fully furnished beautiful sun-drenched 1 bedroom<br /><br />Location: 10th Street between 1st Avenue and Avenue A in the East Village, Manhattan. <br /><br />Beautiful, sun-drenched 1 bedroom. Furnished, over 600 sq ft, 1 Bathroom apartment. High speed Internet, Wi-Fi, HDTV. This is an excellent apartment and building and in a great location. The apartment is very clean and quiet. It's on the 5th floor in the back of the building so there is no street noise and the neighbors are very quiet. Very safe and cool area. <br /><br />Everything you could possibly need is right in the neighborhood: restaurants, cafes, bars, parks, shopping, supermarkets, laundries, pharmacies, etc. <br /><br />The apt is just a few blocks away from the 4, 5, 6, N, R, Q, F, L trains and several bus lines, and a short walk to Union Square or Astor Place.",East Village,Entire apartment,"['550 sq. feet', 'Brooklyn', 'Fort Greene/Clinton Hill', '12 minute', 'Manhattan', '2 blocks', 'Clinton/Washington', '7 minute', '2,3,4,5,N', 'Atlantic Terminal', '3 mile', 'the Brooklyn or Manhattan Bridge', 'Manhattan', 'only 11 miles']"
32965.0,FLAT MACDONOUGH GARDEN,"Experience brownstone living with our spacious, bright top floor two bedroom apartment on this historic block in Bed-Stuy.<br /><br /><b>The space</b><br />The apartment is the perfect place for anyone to feel at home when visiting New York City. There are two bedrooms with five beds, one queen sized bed and 4 twin sized beds. We find the space to be best for 6 people. Large windows throughout the apartment fill the bedroom and living rooms with light. The apartment has a kitchen with lots of counter space that is great for cooking on a night in. The living room is large and great to lounge and relax in. <br />The apartment is 7 minutes away from the A/C train, one of the most accessible and easily transferred to/from trains. The A train is 3 stops and 15 minutes away from downtown Brooklyn and 5 stops and 25 minutes from lower Manhattan. From the train, you can get to all of NYCs major dining, leisure, arts, entertainment, and sports. Our street has free alternate parking and there is",Bedford-Stuyvesant,Entire apartment,"['1', '10th Street', '1st Avenue', 'Avenue A', 'the East Village', 'Manhattan', '1', 'over 600 sq ft', '1', '5th', '4', '5', '6', 'Union Square', 'Astor Place']"
